Frequency (Hz)	Level (dB)
12562.500000	-88.741791
12609.375000	-88.993095
12656.250000	-89.164703
12703.125000	-89.237915
12750.000000	-88.959946
12796.875000	-89.358879
12843.750000	-89.404762
12890.625000	-89.166336
12937.500000	-89.097244
12984.375000	-88.904945
13031.250000	-88.986237
13078.125000	-89.201607
13125.000000	-89.071846
13171.875000	-88.940231
13218.750000	-89.324326
13265.625000	-89.339348
13312.500000	-89.265022
13359.375000	-89.694847
13406.250000	-89.834343
13453.125000	-89.482445
13500.000000	-88.536606
13546.875000	-88.889229
13593.750000	-89.743248
13640.625000	-89.888908
13687.500000	-89.727577
13734.375000	-89.613182
13781.250000	-89.285736
13828.125000	-89.479103
13875.000000	-89.522308
13921.875000	-89.501411
13968.750000	-89.376869
14015.625000	-89.764832
14062.500000	-89.892883
14109.375000	-89.684288
14156.250000	-89.627808
14203.125000	-89.816650
14250.000000	-89.578865
14296.875000	-90.004143
14343.750000	-90.086731
14390.625000	-89.991158
14437.500000	-89.930084
14484.375000	-89.815910
14531.250000	-89.529358
14578.125000	-89.671432
14625.000000	-89.643219
14671.875000	-89.289223
14718.750000	-89.286751
14765.625000	-89.433266
14812.500000	-89.811089
14859.375000	-90.051865
14906.250000	-90.483315
14953.125000	-90.356842
15000.000000	-90.308632
15046.875000	-90.578247
15093.750000	-90.726669
15140.625000	-90.930298
15187.500000	-90.568489
15234.375000	-90.567093
15281.250000	-90.449570
15328.125000	-90.905502
15375.000000	-91.029495
15421.875000	-91.069084
15468.750000	-90.724571
15515.625000	-90.872536
15562.500000	-90.864426
15609.375000	-91.081551
15656.250000	-91.026443
15703.125000	-90.635208
15750.000000	-90.674805
15796.875000	-90.779221
15843.750000	-91.045624
15890.625000	-90.963242
15937.500000	-91.094521
15984.375000	-90.620682
16031.250000	-90.730507
16078.125000	-91.278320
16125.000000	-91.065674
16171.875000	-91.073799
16218.750000	-90.996719
16265.625000	-91.028000
16312.500000	-91.349136
16359.375000	-91.226562
16406.250000	-91.185371
16453.125000	-91.164627
16500.000000	-91.090393
16546.875000	-91.004089
16593.750000	-90.971527
16640.625000	-91.186447
16687.500000	-91.407677
16734.375000	-91.190002
16781.250000	-91.356781
16828.125000	-91.636673
16875.000000	-91.590858
16921.875000	-91.607819
16968.750000	-91.488510
17015.625000	-91.812309
17062.500000	-91.949104
17109.375000	-91.822754
17156.250000	-91.812416
17203.125000	-91.837372
17250.000000	-92.148643
17296.875000	-91.948479
17343.750000	-91.648994
17390.625000	-91.974426
17437.500000	-91.960762
17484.375000	-91.919640
17531.250000	-91.852821
17578.125000	-91.954369
17625.000000	-92.336327
17671.875000	-92.465614
17718.750000	-92.003441
17765.625000	-92.326622
17812.500000	-91.733940
17859.375000	-91.961189
17906.250000	-92.142990
17953.125000	-92.157928
18000.000000	-91.643280
18046.875000	-91.650970
18093.750000	-92.373985
18140.625000	-92.321762
18187.500000	-92.266006
18234.375000	-92.411339
18281.250000	-92.595833
18328.125000	-92.870697
18375.000000	-92.873032
18421.875000	-92.740593
18468.750000	-93.069191
18515.625000	-93.307762
18562.500000	-92.909767
18609.375000	-93.152428
18656.250000	-93.207863
18703.125000	-93.006729
18750.000000	-93.102333
18796.875000	-93.074638
18843.750000	-92.987244
18890.625000	-93.083000
18937.500000	-93.278145
18984.375000	-93.090141
19031.250000	-93.031525
19078.125000	-93.448578
19125.000000	-93.096970
19171.875000	-93.201118
19218.750000	-93.482506
19265.625000	-93.491882
19312.500000	-93.373604
19359.375000	-93.689888
19406.250000	-93.524857
19453.125000	-93.565437
19500.000000	-93.558136
19546.875000	-93.683311
19593.750000	-94.026215
19640.625000	-94.021141
19687.500000	-93.799232
19734.375000	-93.962807
19781.250000	-94.150314
19828.125000	-93.894638
19875.000000	-94.320000
19921.875000	-94.014297
19968.750000	-94.131332
20015.625000	-94.422684
20062.500000	-94.600174
20109.375000	-94.396873
20156.250000	-94.286003
20203.125000	-94.485451
20250.000000	-94.510239
20296.875000	-94.543869
20343.750000	-94.293137
20390.625000	-94.269341
20437.500000	-94.301590
20484.375000	-94.408875
20531.250000	-94.582207
20578.125000	-94.217194
20625.000000	-94.210938
20671.875000	-94.322662
20718.750000	-94.714104
20765.625000	-94.508865
20812.500000	-94.411148
20859.375000	-94.352104
20906.250000	-94.556190
20953.125000	-94.023399
21000.000000	-93.600471
21046.875000	-94.317543
21093.750000	-94.578178
21140.625000	-94.864113
21187.500000	-94.873512
21234.375000	-95.002205
21281.250000	-95.233582
21328.125000	-95.364716
21375.000000	-95.233788
21421.875000	-95.055504
21468.750000	-95.291710
21515.625000	-95.766197
21562.500000	-95.574165
21609.375000	-95.461517
21656.250000	-95.573845
21703.125000	-95.429428
21750.000000	-95.224106
21796.875000	-95.352852
21843.750000	-95.872238
21890.625000	-95.827751
21937.500000	-95.601288
21984.375000	-95.500008
22031.250000	-95.565216
22078.125000	-95.833633
22125.000000	-95.786758
22171.875000	-95.725243
22218.750000	-95.511490
22265.625000	-96.204704
22312.500000	-96.127640
22359.375000	-96.021576
22406.250000	-96.055992
22453.125000	-95.725388
22500.000000	-95.872047
22546.875000	-95.724136
22593.750000	-95.662315
22640.625000	-95.631477
22687.500000	-95.758575
22734.375000	-95.995781
22781.250000	-96.219467
22828.125000	-96.104584
22875.000000	-95.751244
22921.875000	-95.776855
22968.750000	-96.095673
23015.625000	-95.922607
23062.500000	-96.370094
23109.375000	-96.418602
23156.250000	-96.057800
23203.125000	-95.843292
23250.000000	-95.861763
23296.875000	-96.241173
23343.750000	-96.307388
23390.625000	-96.378418
23437.500000	-96.422462
23484.375000	-96.309059
23531.250000	-96.217529
23578.125000	-96.211143
23625.000000	-96.525734
23671.875000	-96.545815
23718.750000	-96.249741
23765.625000	-96.333244
23812.500000	-96.195435
23859.375000	-96.335670
23906.250000	-96.513657
23953.125000	-96.108208
